Academic license - for non-commercial use only
DATFILE : offices1_2r_250.dat
ENVIRONMENT : office
ALGORITHM : KUMAR2
RANGE : _250
STARTING_POS : 42
N_ROBOTS : 2
KUMAR2 sumD : 3626.0
CONFIGURATIONS :
1774.0 1370.0 
1774.0 1377.0 
1774.0 1383.0 
1781.0 1383.0 
1792.0 1383.0 
1792.0 1389.0 
1792.0 1396.0 
1792.0 1404.0 
1801.0 1404.0 
1807.0 1404.0 
1814.0 1404.0 
1822.0 1404.0 
1830.0 1404.0 
1830.0 1414.0 
1839.0 1414.0 
1839.0 1422.0 
1839.0 1430.0 
1839.0 1439.0 
1839.0 1445.0 
1848.0 1445.0 
1848.0 1451.0 
1856.0 1451.0 
1856.0 1457.0 
1864.0 1457.0 
1864.0 1463.0 
1871.0 1463.0 
1877.0 1463.0 
1877.0 1472.0 
1886.0 1472.0 
1895.0 1472.0 
1895.0 1480.0 
1895.0 1488.0 
1895.0 1495.0 
1903.0 1495.0 
1903.0 1502.0 
1903.0 1510.0 
1903.0 1517.0 
1903.0 1523.0 
1913.0 1523.0 
1913.0 1532.0 
1931.0 1532.0 
1931.0 1541.0 
1931.0 1549.0 
1931.0 1559.0 
1931.0 1568.0 
1931.0 1579.0 
1949.0 1579.0 
1959.0 1579.0 
1967.0 1579.0 
1967.0 1590.0 
1975.0 1590.0 
1985.0 1590.0 
1994.0 1590.0 
1994.0 1601.0 
2004.0 1601.0 
2004.0 1612.0 
2004.0 1622.0 
;
EXECUTION TIME KUMAR2: 164.59741497 seconds

-------------------------------------------------------------------
MAP: offices1_
DATE: 2017-10-25_14-55-05
